from,to,distance
Delhi,Mumbai,1400
Delhi,Jaipur,280
Delhi,Hyderabad,1560
Delhi,Bangalore,2150
Delhi,Kolkata,1530
Mumbai,Hyderabad,710
Mumbai,Bangalore,980
Mumbai,Jaipur,1140
Mumbai,Kolkata,1960
Hyderabad,Bangalore,570
Hyderabad,Chennai,630
Hyderabad,Kolkata,1500
Jaipur,Ahmedabad,670
Jaipur,Bangalore,2000
Bangalore,Chennai,350
Bangalore,Kolkata,1870
Chennai,Kolkata,1670
Ahmedabad,Mumbai,530
Ahmedabad,Delhi,950
Delhi,Pune,1470
Pune,Bangalore,840
Pune,Hyderabad,560
Kolkata,Patna,580
Patna,Delhi,1000
